Id,OV,Item OV,Id Contrato,Tipo,Data de criaчуo,Quantidade,Valor,Requisiчуo de compra,Id Mot. Rec.,Id Centro,Id Local Exp.,Id UF Origem,Id Origem,Id Cliente,Id UF Destino,Id Destino,Id Itinerсrio,Id Grupo Merc.,Id Produto
5848,114354209,10,"5689,0",Venda Estoque,2024-01-18,"500,0","64433,23",,,2171,2171,MT,"9,0",1855849,MT,31,,B1260,156007
5849,114354234,10,"5951,0",Venda Estoque,2024-02-01,"600,0","20821,47",,,2171,2171,MT,"9,0",1554019,MT,162,,B1260,156047
5850,114354278,10,"6115,0",Venda Estoque,2024-02-09,"92,0","143622,47",,YP,2171,JF61,MT,"13,0",2124805,MT,151,AB4978,B1450,156259
5851,114354403,10,"5197,0",Venda Estoque,2023-11-24,"49,0","24500,0",,,2171,JF22,PR,"14,0",2013104,MT,32,AC0408,B1450,156233
5852,114355040,10,"6117,0",Venda р Ordem BR,2024-02-09,"47,0","37774,84",0020766576,,2168,JS33,MG,"42,0",2249704,PI,65,AC0966,01000,156657
5853,114355088,10,"5649,0",Venda р Ordem BR,2024-02-09,"10,0","9110,0",,A2,2168,JS33,MG,"42,0",1467328,PI,65,AC0966,01000,156657
5854,114355099,10,"5653,0",Venda р Ordem BR,2024-02-09,"100,0","82833,0",0020766066,,2168,JS33,MG,"42,0",2014945,PI,237,AC0967,01000,156657
5855,114355303,10,"6002,0",Venda Estoque,2024-02-16,"44800,0","153664,0",,,2171,2171,MT,"9,0",2320309,MT,9,AC0711,B1260,156908
5856,114358385,10,"5097,0",Venda р Ordem BR,2023-12-04,"420,0","847133,07",,00,2171,JF61,MT,"13,0",2275187,MT,149,AC0983,B1450,156233
5857,114358894,10,"5874,0",Venda Estoque,2024-02-14,"3000,0","24192,0",,,2165,2165,MA,"5,0",1122885,PI,213,AA3981,B1260,155988
5858,114359309,10,"5097,0",Venda Estoque,2023-12-04,"420,0","847133,07",,,2171,JF61,MT,"13,0",2275187,MT,149,AC0983,B1450,156233
5859,114359530,10,"5768,0",Venda Estoque,2024-02-14,"6000,0","124200,3",,,2171,2171,MT,"9,0",1593857,MT,149,,B1260,155989
5860,114359530,20,"5769,0",Venda Estoque,2024-02-14,"1500,0","75762,19",,,2171,2171,MT,"9,0",1593857,MT,149,,B1260,155992
5861,114359530,30,"5770,0",Venda Estoque,2024-02-14,"4000,0","517842,19",,,2171,2171,MT,"9,0",1593857,MT,149,,B1260,156007
5862,114359530,40,"5771,0",Venda Estoque,2024-02-14,"750,0","33607,15",,,2171,2171,MT,"9,0",1593857,MT,149,,B1260,156965
5863,114359550,10,"5879,0",Venda Estoque,2024-02-15,"1000,0","15000,0",,,2171,2171,MT,"9,0",1002757,MT,95,AB4854,B1260,156001
5864,114359555,10,"6126,0",Venda Estoque,2024-02-15,"720,0","6480,0",,,2171,2171,MT,"9,0",2335199,MT,17,AA8265,B1260,156170
5865,114360109,10,"5995,0",Venda р Ordem BR,2024-02-14,"46,0","39100,0",0020767563,,2168,JS33,MG,"42,0",1062836,PI,129,AC0799,01000,156657
5866,114360193,10,"5876,0",Venda р Ordem BR,2024-02-15,"20,0","15547,2",0020766530,,2168,JS33,MG,"42,0",1000800,PI,71,AC0984,01000,156657
