Id,Itinerário,Distância KM
AB7163,(Orígeo)ARAGUAINA->(1596685)PORTO NACION,591
AA4098,(2166)BALSAS->SEBASTIAO LEAL,311
AC1123,(SANTA HELENA DE GOIAS - GO)SANTA HELENA,1.930
AC1125,(SANTA HELENA DE GOIAS - GO)SANTA HELENA,1.712
AA4114,(2167)ARAGUAINA->AP. DO RIO NEGRO,449
AC0829,(SANTOS)SANTOS->(2134748)ALTO PARAISO,2.954
AB7168,(Orígeo)CUIABA->(1198085)DIAMANTINO,188
AC0816,(BURITIS)BURITIS->(2124781)AGUA BOA,906
AA3981,(2165)LEM->PALMEIRA DO PIAUI,606
AC0984,(ADVANTA UBERLANDIA)UBERLANDIA->(1000800,1.700
AC0798,(RONDONOPOLIS)RONDONOPOLIS->(1573385)UNI,859
AB5823,(Orígeo)CUIABA->(2340351)ROSARIO OESTE,188
AA3763,(FERT)SAO LUIS->ALTO PARNAIBA,1.033
AC3585,(BRFERTIL S.A)RONDONOPOLIS->(2124805)PEI,888
AB4978,(origeo)CUIABA->(2340257)PEIXOTO DE AZEV,768
AC0799,(UBERLANDIA)UBERLANDIA->(1453831)URUCUI,1.758
AA4106,(2166)BALSAS->URUCUI,243
AC1126,(UBERLANDIA - MG)UBERLANDIA->(1564244)RI,1.850
AC1124,(SANTA HELENA DE GOIAS - GO)SANTA HELENA,1.756
AC0579,(UBERLANDIA)UBERLANDIA->(1000892)GILBUES,1.304
AC0654,(BURITIS-MG)BURITIS->(2258193)PARANATING,1.178
AC0655,(BURITIS-MG)BURITIS->(2266441)PRIMAVERA,1.039
AC0773,(BURITIS)BURITIS->(2017873)CANARANA,951
AC0517,(Orígeo )CUIABA->(1556422)SERRA NOVA DOU,915
AA4189,(2167)ARAGUAINA->STA R. TOCANTINS,538
AA6913,(CIBRA)RONDONOPOLIS->NOVA MARINGA,587
AC0255,(RONDONOPOLIS)RONDONOPOLIS->(1960727)ROS,321
AB7831,(ORIGEO)LUIS EDUARDO MAGALHAES->(2014945,1.050
AB7175,(Orígeo)CUIABA->(2140838)RIBEIRAO CASCAL,870
AB4969,(origeo)LUIS EDUARDO MAGALHAES->(1569061,140
AB7635,(FERTIPAR )SAO LUIS->(2265880)MARCOS PAR,725
AC5283,(COCAL CEREAIS LTDA RONDONOPOLIS - MT)RO,630
AC5286,(COCAL CEREAIS LTDA RONDONOPOLIS - MT)RO,638
AC5284,(COCAL CEREAIS LTDA RONDONOPOLIS - MT)RO,458
AC5285,(COCAL CEREAIS LTDA RONDONOPOLIS - MT)RO,638
AB4634,(MULTI)CUIABA->(2342474)PARANAITA,838
AC5322,(UNIFERTIL - UNIVERSAL DE FERTILIZANTES,2.450
AC5320,(UNIFERTIL - UNIVERSAL DE FERTILIZANTES,2.748
AB9081,(Orígeo)CUIABA->(1563014)CAMPO NOVO DO P,401
AC1333,(CUIABA - MT)CUIABA->(2371299)IBIPORA,1.294
AC1904,(SAO DESIDERIO - BA)SAO DESIDERIO->(1000,333
AB5814,(Orígeo)CUIABA->(2344092)POCONE,188
AC3420,(PRODUTIVA COMERCIO E)SAO DESIDERIO->(11,343
AC4170,(PRODUTIVA COMERCIO)SAO DESIDERIO->(2014,985
AC4468,(PRODUTIVA COMERCIO E)SAO DESIDERIO->(22,729
AC0409,(CAMPO NOVO DO PARECIS)CAMPO NOVO DO PAR,60
AC5281,(COCAL CEREAIS LTDA RONDONOPOLIS - MT)RO,548
AC5321,(UNIFERTIL - UNIVERSAL DE FERTILIZANTES,2.359
AC5476,(UNIFERTIL - UNIVERSAL DE FERTILIZANTES,2.565
AB5489,(MULTI)RONDONOPOLIS->(2336131)NOVA MUTUM,459
AA4093,(2166)BALSAS->SAN. DO ARAGUAIA,798
AB4845,(MULTI)RONDONOPOLIS->(2267473)BARRA DO G,405
AC2353,(ORIGEO)BALSAS->(1931589)BOM JESUS,550
AC2612,(PRODUTIVA COMERCIO E SERVICOS DE BENEFI,719
AC5282,(COCAL CEREAIS LTDA RONDONOPOLIS - MT)RO,537
AC5319,(UNIFERTIL - UNIVERSAL DE FERTILIZANTES,2.798
AA4185,(2167)ARAGUAINA->RONDON DO PARA,417
AA5646,(EUROCHEM)SÃO LUIS->(2312304)PARNARAMA,487
AA7343,(BRAVO)LUIS EDUARDO MAGALHAES->(1002038),1.213
AA7373,(ORIGEO)LUIS EDUARDO MAGALHAES->(1437516,540
AA7640,(ORIGEO)LUIS EDUARDO MAGALHAES->(1430410,320
AA4009,(2165)LEM->URUCUI,848
AB3894,(MULTI)LUIS EDUARDO MAGALHAES->(1850514),1.845
AB3895,(MULTI)LUIS EDUARDO MAGALHAES->(2069370),2.251
AA7224,(FERTIPAR)SINOP->NOVA SANTA HELENA,123
AB4508,(MULTI)CUIABA->(2075712)SINOP,480
AB4558,(MULTI)CUIABA->(1129569)LUCAS DO RIO VER,333
AB4559,(MULTI)CUIABA->(1001614)LUCAS DO RIO VER,333
AB4560,(MULTI)CUIABA->(1001937)LUCAS DO RIO VER,333
AB4561,(MULTI)CUIABA->(1425988)LUCAS DO RIO VER,333
AB2047,(ORIGEO)BALSAS->(BALSAS)FORTUNA,410
AB4644,(MULTI)CUIABA->(2075531)SANTA RITA DO TR,342
AA3929,(2165)LEM->BOM JESUS,556
AB4761,(Orígeo)CUIABA->(1056999)CAMPOS DE JULIO,565
AB4762,(Orígeo)CUIABA->(2342366)ROLIM DE MOURA,1.005
AB4785,(EUROCHEM )BARCARENA->(2340783)XINGUARA,720
AA4202,(2167)ARAGUAINA->ULIANOPOLIS,452
AB4792,(ORIGEO)ARAGUAINA->(1734559)PIRAQUE,66
AA3996,(2165)LEM->SAN. DO ARAGUAIA,799
AB2245,(SEEEDCORP)NOVA MUTUM->(1799187)BOM JESU,935
AB4935,(MULTI)CORRENTINA->(1593857)NOVA UBIRATA,1.780
AB4555,(SLC AGRICOLA LTDA)CORRENTINA->(2050475),860
AB3661,(SEEDCORP)SAO DESIDERIO->(1566271)TANGAR,2.029
AB4934,(MULTI)CORRENTINA->(1920792)MARCELÂNDIA,1.774
AB5030,(Orígeo)CUIABA->(2140547)PORTO VELHO,1.458
AB5028,(Orígeo)CUIABA->(1963463)CEREJEIRAS,768
AB5027,(Orígeo)CUIABA->(2140545)CANDEIAS DO JAM,1.248
AB5025,(Orígeo)CUIABA->(2140549)ITAPUA DO OESTE,1.248
AB5029,(Orígeo)CUIABA->(2102236)CABIXI,870
AB5026,(Orígeo)CUIABA->(2140550)CANDEIAS DO JAM,1.248
AB5035,(FERTGROW S.A)SAO LUIS->(1962592)SANTA M,1.060
AB5047,(MULTI)RONDONOPOLIS->(1593857)NOVA UBIRA,551
AA4130,(2167)ARAGUAINA->CAROLINA,111
AB5410,(Orígeo)CUIABA->(2326999)SAO DOMINGOS,1.479
AB6122,(MULTI)ARAGUAINA->(1137281)DIAMANTINO,740
AA6793,(BERTUOL)SORRISO->BOM JESUS DO ARAG,771
AB5503,(ORIGEO)CUIABA->(1569719)CUJUBIM,1.380
AA4192,(2167)ARAGUAINA->S. DOM DO AZEITAO,473
AA4118,(2167)ARAGUAINA->BALSAS,281
AA4159,(2167)ARAGUAINA->LORETO,440
AB5877,(Seedcorp JT07 - Primavera do leste)PRIM,525
AA4085,(2166)BALSAS->RIACHAO DAS NEVES,624
AB4884,(UNIGGEL)CAMPOS LINDOS->(2307198)CONFRES,945
AA4181,(2167)ARAGUAINA->RIACHAO,213
AA4006,(2165)LEM->TASSO FRAGOSO,623
AA3973,(2165)LEM->M. ALEG. DO PIAUI,403
AB5917,(Orígeo)CUIABA->(2349424)VILA BELA DA SA,522
AB5918,(Orígeo)CUIABA->(2070078)PARECIS,966
AA3946,(2165)LEM->CURRAIS,567
AA4043,(2166)BALSAS->CURRAIS,752
AA6880,(CIBRA)RONDONOPOLIS->ALTO ARAGUAIA,207
AB5871,(MULTI)SORRISO->(2350556)ITANHANGÁ,126
AB6002,(MULTI)CUIABA->(1588649)CAMPOS DE JULIO,567
AA3993,(2165)LEM->SANTA FILOMENA,530
AA3999,(2165)LEM->S FELIX DE BALSAS,961
AB6003,(MULTI)RONDONOPOLIS->(1439535)ALTO GARÇA,148
AB6025,(Orígeo)CUIABA->(2056206)CAMPO NOVO DO P,392
AB5891,(MULTI)RONDONOPOLIS->(1189664)RONDONOPOL,30
AB5778,(Orígeo)CUIABA->(1692757)SAO GABRIEL DO,568
AB6118,(Orígeo)CUIABA->(2346378 )BANDEIRANTES,634
AB6069,(MULTI)SANTAREM->(2307986)SANTA RITA DO,1.621
AB6342,(50519463)P.DO.LESTE->(1004001)FORMOSA D,1.600
AB6344,(Orígeo)CUIABA->(2088385)ARIQUEMES,1.263
AB4977,(origeo)CUIABA->(1426639)SORRISO,395
AB6004,(MULTI)RONDONOPOLIS->(1798067)GUIRATINGA,111
AB6178,(multitrans)PARANAGUA->(2076420)TAPURAH,2.200
AB6179,(multitrans)PARANAGUA->(1779929)LUCAS DO,2.100
AB4917,(Orígeo)CUIABA->(2274206)MARCELÂNDIA,640
AB6668,(MULTI)RONDONOPOLIS->(2054151)LUCAS DO R,549
AB6669,(MULTI)RONDONOPOLIS->(1652836)NOVA MUTUM,459
AB6671,(MULTI)RONDONOPOLIS->(1652836)NOVA MUTUM,459
AB7143,(Orígeo)LUIS EDUARDO MAGALHAES->(1460004,297
AB7165,(Orígeo)CUIABA->(1062953)IPIRANGA DO NOR,470
AB7200,(Oilema)BARREIRAS->(1690197)ARAGUAINA,954
AB7201,(Oilema)BARREIRAS->(1564621)COUTO DE MAG,867
AA3975,(2165)LEM->MURICILANDIA,922
AA3994,(2165)LEM->STA M. BARREIRAS,797
AB7176,(Orígeo)ARAGUAINA->(1063244)XAMBIOA,145
AB4631,(MULTI)CUIABA->(1970170)ALTA FLORESTA,791
AB7279,(MULTI)RONDONOPOLIS->(1685181)TERRA NOVA,847
AB7280,(MULTI)SANTAREM->(1001134)NOVA MUTUM,1.530
AB7262,(MULTI)SANTAREM->(1063372)LUCAS DO RIO V,1.439
AB7263,(MULTI)SANTAREM->(1062949)TAPURAH,1.541
AB7138,(Orígeo)CUIABA->(1130503)CANARANA,598
AA4018,(2166)BALSAS->ARAGUAINA,282
AB7167,(Orígeo)CUIABA->(1422335)DIAMANTINO,188
AB7349,(Orígeo)CUIABA->(1429537)SAO JOSE DO RIO,296
AA4005,(2165)LEM->TALISMA,505
AB7485,(Orígeo)CUIABA->(1562368)CAMPOS DE JULIO,567
AB7428,(MULTI)RONDONOPOLIS->(1884884)SANTA RITA,404
AB7474,(SEMENTES TRES PINHEIROS)BRASILIA->(1690,1.222
AB7475,(SEMENTES TRES PINHEIROS)BRASILIA->(1564,1.135
AB7476,(SEMENTES TRES PINHEIROS)BRASILIA->(1919,1.286
AB7477,(SEMENTES TRES PINHEIROS)BRASILIA->(1573,471
AB7480,(MASTER NORTE )SANTAREM->(2075712)SINOP,1.292
AB7481,(MASTER NORTE )SANTAREM->(2350800)SORRIS,1.374
AB7482,(MASTER NORTE )SANTAREM->(2338722)SANTA,1.320
AB7264,(MULTI)SANTAREM->(2022017)IPIRANGA DO NO,1.423
AB7491,(SEMENTES TRES PINHEIROS)BRASILIA->(2042,1.112
AB7170,(Orígeo)CUIABA->(2307524)COCALINHO,768
AA3918,(2165)LEM->ALTO PARNAIBA,532
AB7260,(J&H Sementes)BALSAS->(2300736)BALSAS,10
AB7483,(MASTER NORTE )SANTAREM->(1573385)UNIAO,1.349
AB7484,(MULTITRANS )PARANAGUA->(2307986)SANTA R,2.166
AB7568,(ALDINO ROQUE ROSSO)SAO MIGUEL DO PASSA,1.347
AB7597,(SEEDCORP NOVA MUTUM)NOVA MUTUM->(106251,376
AB7570,(50519463)P.DO.LESTE->(2018489)PARAGOMIN,2.200
AB7479,(ADUBRAS)PARANAGUA->(1438114)ITIQUIRA,1.525
AB7478,(ADUBRAS)PARANAGUA->(2143033)RONDONOPOLI,1.558
AB7699,(50034833)CORRENTINA->(1000987)DIANOPOLI,450
AB7701,(SEEDCORP BURITIS)BURITIS->(1868162)PALM,806
AB5223,(MULTI)RONDONOPOLIS->(1950750)DIAMANTINO,399
AB5218,(MULTI)RONDONOPOLIS->(2084610)NOVA UBIRA,551
AB5210,(MULTI)RONDONOPOLIS->(1884907)PEDRA PRET,30
AB5221,(MULTI)RONDONOPOLIS->(2093848)SAO JOSE D,513
AB5220,(MULTI)RONDONOPOLIS->(2126976)TANGARA DA,783
AB8186,(Orígeo )CUIABA->(1487916)CAMPO NOVO DO,402
AB7751,(FERTIPAR )RONDONOPOLIS->(1563382)NOVA S,810
AB7752,(FERTIPAR )RONDONOPOLIS->(1047886)SINOP,696
AB8292,(50521277)AGUA BOA->(2018489)PARAGOMINAS,1.800
AB8354,(JS80 - SEMENTES TRES PINHEIROS)BRASILIA,1.771
AB8506,(ONNO)RONDONOPOLIS->(2356190)CAMPINAPOLI,415
AB8445,(BINOTTI SEEDS LTDA)CABECEIRAS->(2018489,1.791
AB8669,(50515441)BURITIS->(2281127)BAIXA GRANDE,3.300
AB8675,(50519463)P.DO.LESTE->(2281127)BAIXA GRA,2.100
AB8684,(BIOPLANTA NUTRICAO VEGETAL)LUCAS DO RIO,1.110
AB9060,(OILEMA COMERCIO DE SEMENTES LTDA)BARREI,350
AB9173,(50057800)SAO LUIS->(2362698)GOIATINS,900
AB9197,(50532263)UBERLANDIA->(1573194)BAIXA GRA,1.800
AA7174,(FERTIPAR)RONDONOPOLIS->SINOP,696
AB9290,(UBERLANDIA)UBERLANDIA->(1903713)LUIS ED,933
AB9286,(FETI TOPCANTINS)RONDONOPOLIS->(2070078),1.255
AA6877,(CIBRA)RONDONOP.->VL BELA DA SANTIS T,739
AA6833,(BERTUOL)SORRISO->PARANAITA,444
AC0236,(RONDONOPOLIS)RONDONOPOLIS->(2140551)VIL,973
AC0653,(NOVA MUTUM-MT)NOVA MUTUM->(2075712)SINO,243
AC0656,(BURITIS-MG)BURITIS->(1063105)DIAMANTINO,1.448
AC0785,(LUIS EDUARDO MAGALHAES)LUIS EDUARDO MAG,381
AC0746,(RONDONOPOLIS)RONDONOPOLIS->(2134748)ALT,1.529
AC0906,(UBERLANDIA)UBERLANDIA->(1193414)SEBASTI,1.689
AC1201,(UBERLANDIA - MG)UBERLANDIA->(1194778)JA,967
AC1410,(CUIABA - MT)CUIABA->(2275187)NOVA UBIRA,476
AC1510,(RONDONOPOLIS - MT)RONDONOPOLIS->(142267,616
AC1523,(RONDONOPOLIS - MT)RONDONOPOLIS->(192858,855
AC1623,(RONDONOPOLIS - MT)RONDONOPOLIS->(234503,1.678
AC1824,(RONDONOPOLIS - MT)RONDONOPOLIS->(214055,1.656
AC1839,(RONDONOPOLIS - MT)RONDONOPOLIS->(106310,399
AC2698,(COMPANHIA OPERADORA PORTUARIA DO ITAQUI,728
AC1943,(RONDONOPOLIS - MT)RONDONOPOLIS->(227518,551
AC2309,(ADVANTA COMERCIO DE SEMENTES LTDA.)CUIA,1.308
AC0439,(50530430)RONDONOPOLIS->(1652836)NOVA MU,446
AC3173,(ORIGEO COMERCIO DE PRODUTOS AGRO CUIABA,510
AC3253,(ADVANTA COMERCIO DE SEMENTES LTDA.)CUIA,897
AC3327,(COPAS LOGISTICA LTDA)RONDONOPOLIS->(142,616
AB7139,(Orígeo)CUIABA->(1000794)CHUPINGUAIA,899
AC4378,(ORIGEO COMERCIO DE PRODUTOS AGRO)CUIABA,49
AC5505,(ORIGEO COMERCIO DE PRODUTOS AGRO CUIABA,639
AC5507,(ORIGEO COMERCIO DE PRODUTOS AGRO CUIABA,392
AC5713,(ORIGEO COMERCIO DE PRODUTOS AGRO CUIABA,1.735
