Id,Itinerário,Distância KM
AB6117,(Orígeo)CUIABA->(2338701)ULIANOPOLIS,2.300
AA6607,(YARA)CANDEIAS->(2282075)SANTA RITA DE C,979
AA6600,(EUROCHEM)PORTO NACIONAL->(2110250)GUARA,243
AA6170,(OILEMA)BARREIRAS->(2316640)FORMOSA DO R,1.370
AB2000,(ORIGEO)CUIABA->(1570928)POXOREU,265
AA3766,(FERT)SAO LUIS->ARAGUAINA,867
AA8266,(SEEDCORP)BURITIS->(2316640)FORMOSA DO R,785
AB7459,(50515443)FORMOSA->(2316640)FORMOSA DO R,700
AB3668,(Cidade)CORRENTINA->(1004001)FORMOSA DO,321
AA6915,(MULTI)RONDONOPOLIS->NOVA MUTUM,456
AB0896,(ORIGEO)CUIABA->(1573440)ALTO GARÇAS,360
AB3657,(SLC)CORRENTINA->(1786034)MATEIROS,512
AA3707,(FERT)CANDEIAS->COCOS,931
AB3669,(Cidade)CORRENTINA->(2047703)SAO DESIDER,138
AA4029,(2166)BALSAS->BURITI,679
AA3775,(FERT)SAO LUIS->BURITI,322
AB3793,(OCP)RONDONÓPOLIS->(1195974)MINEIROS,297
AB3812,(OCP)RONDONÓPOLIS->(MULTI)RIO CRESPO,1.527
AA6886,(MULTI)RONDONOPOLIS->BRASNORTE,805
AA3827,(FERT)SAO LUIS->RONDON DO PARA,728
AB7216,(MULTI)RONDONOPOLIS->(1107798)CANARANA,538
AA6890,(CIBRA)RONDONOPOLIS->CANARANA,721
AB2248,(UNIGGEL)CHAPADAO DO CEU->(2044751)SAO F,1.092
AA7031,(EUROCHEM)SÃO LUIS->BOM JESUS DO ARAG,1.831
AA6864,(CIBRA)RONDONOP.->BOM JESUS DO ARAG,900
AB4509,(MULTI)CUIABA->(2142865)AGUA BOA,740
AB4892,(SEEDCORP)CAMPO NOVO DO PARECIS->(156627,150
AA8295,(EUROCHEM)SAO LUIS->(1919246)SAO BENTO D,725
AA8294,(Origeo)CUIABA->(1062877)CAMPO NOVO DO P,403
AA7556,(KOTHE)BALSAS->(1198852)TASSO FRAGOSO,378
AB1880,(FERTIPAR)SAO LUIS->(1754479)GRAJAU,564
AB1998,(ORIGEO)ARAGUAINA->(2088462)COUTO DE MAG,220
AA3962,(2165)LEM->JABORANDI,305
AB3655,(SLC)CORRENTINA->(1573194)BAIXA GRANDE D,984
AB1303,(OILEMA)BARREIRAS->(1573194)BAIXA GRANDE,890
AA3806,(FERT)SAO LUIS->MAR. DO TOCANTINS,1.326
AB1999,(ORIGEO)CUIABA->(1666734)POXOREO,265
AA3926,(2165)LEM->BARREIRAS,94
AA4203,(2167)ARAGUAINA->URUCUI,523
AA4180,(2167)ARAGUAINA->REGENERACAO,792
AB3974,(ORIGEO)CUIABA->(1639702)BALIZA,573
AA3989,(2165)LEM->RIBEIRO GONCALVES,954
AB3811,RONDONÓPOLIS-> SAO JOSE DO XINGU,957
AB3976,(ORIGEO)CUIABA->(2051656)POXOREU,263
AB4073,(50400364)PIRATINI->(50045987)RIO GRANDE,150
AA6867,(CIBRA)RONDONOP.->LUCAS DO RIO VERDE,550
AA6881,(CIBRA)RONDONOPOLIS->ALTO BOA VISTA,953
AA3777,(FERT)SAO LUIS->CAMPOS LINDOS,922
AB4279,(MULTI)CUIABA->(1421692)SAPEZAL,510
AB3654,(SLC)CORRENTINA->(2338038)SAPUCAIA,1.348
AB3664,(Progresso)SEBASTIAO LEAL->(2338701)ULIA,835
AB4276,(MULTI)CUIABA->(1104884)BRASNORTE,588
AB3659,(SLC)CORRENTINA->(1573704)TALISMA,721
AA3762,(FERT)SAO LUIS->ALMAS,1.539
AB5612,(Seedcorp São Desidério)SAO DESIDERIO->(,82
AA4150,(2167)ARAGUAINA->GILBUES,653
AA4167,(2167)ARAGUAINA->M. ALEG. DO PIAUI,649
AB4645,(MULTI)CUIABA->(2307198)CONFRESA,1.010
AB3847,(ORÍGEO)CUIABA->(2316583)ALTO BOA VISTA,912
AB0372,(2285006)CUIABA/MT->(50112779)C.de Julio,570
AB1964,(SEEDCORP)SAO DESIDERIO->(1004001)FORMOS,183
AB1969,(SEEDCORP)SAO DESIDERIO->(1003654)LUIS E,118
AB3983,(ORIGEO)CUIABA->(2010586)CONFRESA,1.059
