Id,Local Expedição,BP,CNPJ,Id UF,Id Cidade,Zona de Transporte
JF11,FERTIPAR CANDEIAS,1993532,2119258000218,BA,,BA06502000
JF14,FERT TOCANTINS S A SAO LUIS,1643984,05571228000317,MA,"1,0",MA11302000
JF05,FERTGROW SAO LUIS,1669735,14267717000109,MA,"1,0",MA11302000
JF15,FERT TOCANTINS S.A P NACIONAL,1579792,05571228000155,TO,"2,0",TO18202000
JF02,CIBRAFERTIL CANDEIAS,1935266,00117842000551,BA,"3,0",BA06502000
JF28,FERT TOCANTINS S.A SINOP,2018788,05571228000740,MT,"4,0",MT07902000
JF08,FERTIPAR SAO LUIS,1860919,6191223000240,MA,"1,0",MA11302000
2165,Orígeo LEM/BA,,,MA,"5,0",BA19551165
2166,Orígeo Balsas/MA,,,MA,"6,0",MA01401166
JS03,PROGRESSO SEBASTIAO LEAL,1905104,7620341000109,PI,"7,0",PI10632014
2167,Orígeo Araguaína/TO,,,TO,"8,0",TO21001167
2171,Orígeo Cuiabá/MT,,,MT,"9,0",MT03401171
JS48,SLC AGRICOLA LTDA,1484887,89096457002280,BA,"10,0",BA09302000
JF27,FERT TOCANTINS S.A LEM,1990837,05571228000406,BA,"11,0",BA19552000
JS17,Seedcorp - RODA VELHA,2297285,20089631000489,BA,"12,0",BA28902000
JF16,CIBRAFERTIL RONDONOPOLIS,2293918,00117842000985,MT,"13,0",MT07602000
JD05,AGRO IMPORT CUIABA,2320309,05625220001449,MT,"9,0",MT03402000
JF22,MULTITRANS - TRANSPORTES E ARM,1669821,01201578000250,PR,"14,0",PR18202000
JF56,MASTER NORTE OPERACOES PORTUAR,2104327,28941241000154,PA,"15,0",PA06802014
JS11,UNIGGEL CHAPADAO DO CEU,1157315,00071815000161,GO,"16,0",GO05472025
JS18,Seedcorp - NOVA MUTUM,2310195,20089631001027,MT,"17,0",MT06222000
JF66,ADUBRAS FERTILIZANTES S.A.,2063566,23704333000601,MT,"13,0",MT07602000
JF39,FERTILIZANTES HERINGER S.A.I,2052406,22266175004680,BA,"3,0",BA06502000
JF13,YARA CANDEIAS,1781993,92660604014213,BA,"3,0",BA06502000
JS31,PANTANAL AGRICOLA S.A.,2310068,04480269001307,MT,"18,0",MT07602000
JS19,LongPing-MT,2295737,08864422000893,MT,"19,0",MT07922000
JS16,Seedcorp - BURITIS,2310123,20089631000721,MG,"20,0",MG09302000
