Id Centro,Centro,CNPJ Centro
2165,Orígeo LEM/BA,44552174000302
2166,Orígeo Balsas/MA,44552174000213
2167,Orígeo Araguaína/TO,44552174000485
2171,Orígeo Cuiabá/MT,44552174000566
2169,Orígeo Paragominas/P,44552174000728
2168,Orígeo Uruçui/PI,44552174000647
